Cell type: LSTM, Hidden size: 50, Num layers: 5, Dropout: 0.0, Bidirectional: False, Accuracy: 72.27
Cell type: LSTM, Hidden size: 400, Num layers: 3, Dropout: 0.85, Bidirectional: False, Accuracy: 77.87
Cell type: LSTM, Hidden size: 250, Num layers: 3, Dropout: 0.0, Bidirectional: False, Accuracy: 77.16
Cell type: LSTM, Hidden size: 100, Num layers: 9, Dropout: 0.5, Bidirectional: False, Accuracy: 78.69
Cell type: LSTM, Hidden size: 150, Num layers: 7, Dropout: 0.75, Bidirectional: False, Accuracy: 78.31
Cell type: LSTM, Hidden size: 100, Num layers: 11, Dropout: 0.35, Bidirectional: False, Accuracy: 78.47
Cell type: LSTM, Hidden size: 500, Num layers: 11, Dropout: 0.75, Bidirectional: False, Accuracy: 49.92
Cell type: LSTM, Hidden size: 500, Num layers: 10, Dropout: 0.75, Bidirectional: False, Accuracy: 79.3
Cell type: LSTM, Hidden size: 400, Num layers: 7, Dropout: 0.25, Bidirectional: False, Accuracy: 77.92
Cell type: LSTM, Hidden size: 450, Num layers: 10, Dropout: 0.15, Bidirectional: False, Accuracy: 77.1
Cell type: LSTM, Hidden size: 450, Num layers: 10, Dropout: 0.0, Bidirectional: False, Accuracy: 57.0
Cell type: LSTM, Hidden size: 150, Num layers: 5, Dropout: 0.75, Bidirectional: False, Accuracy: 77.48
Cell type: LSTM, Hidden size: 150, Num layers: 10, Dropout: 0.15, Bidirectional: False, Accuracy: 74.08
Cell type: LSTM, Hidden size: 500, Num layers: 5, Dropout: 0.15, Bidirectional: False, Accuracy: 79.13
Cell type: LSTM, Hidden size: 450, Num layers: 10, Dropout: 0.15, Bidirectional: False, Accuracy: 49.92
Cell type: LSTM, Hidden size: 400, Num layers: 3, Dropout: 0.35, Bidirectional: False, Accuracy: 78.03
Cell type: LSTM, Hidden size: 350, Num layers: 5, Dropout: 0.25, Bidirectional: False, Accuracy: 80.23
Cell type: LSTM, Hidden size: 400, Num layers: 9, Dropout: 0.5, Bidirectional: False, Accuracy: 79.52
Cell type: LSTM, Hidden size: 350, Num layers: 11, Dropout: 0.65, Bidirectional: False, Accuracy: 76.39
Cell type: LSTM, Hidden size: 150, Num layers: 11, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92
Cell type: GRU, Hidden size: 300, Num layers: 3, Dropout: 0.0, Bidirectional: False, Accuracy: 80.07
Cell type: GRU, Hidden size: 150, Num layers: 9, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92
Cell type: GRU, Hidden size: 300, Num layers: 6, Dropout: 0.25, Bidirectional: False, Accuracy: 74.14
Cell type: GRU, Hidden size: 450, Num layers: 5, Dropout: 0.85, Bidirectional: False, Accuracy: 79.08
Cell type: GRU, Hidden size: 350, Num layers: 3, Dropout: 0.35, Bidirectional: False, Accuracy: 78.31
Cell type: GRU, Hidden size: 50, Num layers: 8, Dropout: 0.5, Bidirectional: False, Accuracy: 67.05
Cell type: GRU, Hidden size: 450, Num layers: 5, Dropout: 0.75, Bidirectional: False, Accuracy: 76.33
Cell type: GRU, Hidden size: 400, Num layers: 8, Dropout: 0.25, Bidirectional: False, Accuracy: 74.96
Cell type: GRU, Hidden size: 300, Num layers: 5, Dropout: 0.85, Bidirectional: False, Accuracy: 77.27
Cell type: GRU, Hidden size: 50, Num layers: 6, Dropout: 0.75, Bidirectional: False, Accuracy: 72.05
Cell type: GRU, Hidden size: 250, Num layers: 11, Dropout: 0.25, Bidirectional: False, Accuracy: 78.2
Cell type: GRU, Hidden size: 200, Num layers: 9, Dropout: 0.35, Bidirectional: False, Accuracy: 76.77
Cell type: GRU, Hidden size: 300, Num layers: 6, Dropout: 0.0, Bidirectional: False, Accuracy: 77.76
Cell type: GRU, Hidden size: 100, Num layers: 6, Dropout: 0.15, Bidirectional: False, Accuracy: 80.51
Cell type: GRU, Hidden size: 400, Num layers: 8, Dropout: 0.15, Bidirectional: False, Accuracy: 79.57
Cell type: GRU, Hidden size: 250, Num layers: 9, Dropout: 0.15, Bidirectional: False, Accuracy: 79.52
Cell type: GRU, Hidden size: 150, Num layers: 9, Dropout: 0.5, Bidirectional: False, Accuracy: 77.43
Cell type: GRU, Hidden size: 150, Num layers: 2, Dropout: 0.0, Bidirectional: False, Accuracy: 78.31
Cell type: GRU, Hidden size: 300, Num layers: 3, Dropout: 0.15, Bidirectional: False, Accuracy: 79.13
Cell type: GRU, Hidden size: 400, Num layers: 9, Dropout: 0.75, Bidirectional: False, Accuracy: 73.59
Cell type: RNN, Hidden size: 50, Num layers: 9, Dropout: 0.15, Bidirectional: False, Accuracy: 49.92
