Cell type: LSTM, Hidden size: 450, Num layers: 3, Dropout: 0.0, Bidirectional: False, Accuracy: 78.91, F1 score: 0.7711561918258667
Cell type: LSTM, Hidden size: 450, Num layers: 5, Dropout: 0.85, Bidirectional: False, Accuracy: 79.9, F1 score: 0.8121150135993958
Cell type: LSTM, Hidden size: 200, Num layers: 10, Dropout: 0.35, Bidirectional: False, Accuracy: 79.57, F1 score: 0.7827102541923523
Cell type: LSTM, Hidden size: 100, Num layers: 9, Dropout: 0.15, Bidirectional: False, Accuracy: 72.71, F1 score: 0.7702265381813049
Cell type: LSTM, Hidden size: 500, Num layers: 8, Dropout: 0.35, Bidirectional: False, Accuracy: 78.47, F1 score: 0.7878787517547607
Cell type: LSTM, Hidden size: 400, Num layers: 2, Dropout: 0.75, Bidirectional: False, Accuracy: 76.99, F1 score: 0.7308927774429321
Cell type: LSTM, Hidden size: 300, Num layers: 9, Dropout: 0.85, Bidirectional: False, Accuracy: 49.92, F1 score: 0.6659340262413025
Cell type: LSTM, Hidden size: 400, Num layers: 5, Dropout: 0.65, Bidirectional: False, Accuracy: 80.07, F1 score: 0.790052056312561
Cell type: LSTM, Hidden size: 50, Num layers: 3, Dropout: 0.15, Bidirectional: False, Accuracy: 76.33, F1 score: 0.7294412851333618
Cell type: LSTM, Hidden size: 250, Num layers: 3, Dropout: 0.15, Bidirectional: False, Accuracy: 76.44, F1 score: 0.724823534488678
Cell type: LSTM, Hidden size: 450, Num layers: 7, Dropout: 0.85, Bidirectional: False, Accuracy: 77.65, F1 score: 0.7803561687469482
Cell type: LSTM, Hidden size: 150, Num layers: 10, Dropout: 0.5, Bidirectional: False, Accuracy: 78.97, F1 score: 0.8016571402549744
Cell type: LSTM, Hidden size: 300, Num layers: 3, Dropout: 0.65, Bidirectional: False, Accuracy: 79.41, F1 score: 0.789444088935852
Cell type: LSTM, Hidden size: 350, Num layers: 4, Dropout: 0.35, Bidirectional: False, Accuracy: 79.52, F1 score: 0.7898591160774231
Cell type: LSTM, Hidden size: 150, Num layers: 6, Dropout: 0.85, Bidirectional: False, Accuracy: 80.51, F1 score: 0.7981808185577393
Cell type: LSTM, Hidden size: 450, Num layers: 9, Dropout: 0.15, Bidirectional: False, Accuracy: 75.67, F1 score: 0.763228178024292
Cell type: LSTM, Hidden size: 100, Num layers: 5, Dropout: 0.35, Bidirectional: False, Accuracy: 78.09, F1 score: 0.7632047533988953
Cell type: LSTM, Hidden size: 500, Num layers: 3, Dropout: 0.25, Bidirectional: False, Accuracy: 77.59, F1 score: 0.7924720048904419
Cell type: LSTM, Hidden size: 250, Num layers: 10, Dropout: 0.75, Bidirectional: False, Accuracy: 78.86, F1 score: 0.7687687277793884
Cell type: LSTM, Hidden size: 50, Num layers: 6, Dropout: 0.15, Bidirectional: False, Accuracy: 76.66, F1 score: 0.7533372044563293
Cell type: GRU, Hidden size: 250, Num layers: 8, Dropout: 0.15, Bidirectional: False, Accuracy: 79.68, F1 score: 0.7958057522773743
Cell type: GRU, Hidden size: 350, Num layers: 8, Dropout: 0.75, Bidirectional: False, Accuracy: 74.68, F1 score: 0.6848940253257751
Cell type: GRU, Hidden size: 50, Num layers: 3, Dropout: 0.35, Bidirectional: False, Accuracy: 75.07, F1 score: 0.7115629315376282
